"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","sig"
"Y69H2.14",18071.8302612362,4.70968217923915,0.154076121834139,30.5672424978938,3.33675711857019e-205,6.43126567033218e-201,NA,"FDR<0.05 & 
log2(FC)>=1"
"F01D5.6",763.795782344836,-2.5488315647097,0.0864252394800385,-29.4917500957391,3.67312403652358e-191,3.53978963399777e-187,"both","FDR<0.05 & 
log2(FC)>=1"
"F14F7.1",17472.4116059893,4.74488972216923,0.164072283932052,28.9195079659783,6.78820632162372e-184,4.36119628809919e-180,NA,"FDR<0.05 & 
log2(FC)>=1"
"W05G11.6",5724.01114040351,1.2777708646989,0.0452745414866265,28.2227234720054,3.0776331404013e-175,1.48295752870237e-171,"both","FDR<0.05 & 
log2(FC)>=1"
"F25H8.6",631.363059574444,-3.06169064841632,0.109702644722547,-27.9089957781761,2.07509733868268e-171,6.66590435096167e-168,"both","FDR<0.05 & 
log2(FC)>=1"
"Y53F4B.27",754.605339793672,-2.7699278591272,0.0992329989258599,-27.913374473311,1.8360876172598e-171,6.66590435096167e-168,"both","FDR<0.05 & 
log2(FC)>=1"
"T21H3.2",663.41084953729,-3.47005434612381,0.127653101660916,-27.1834706793203,1.01866891830575e-162,2.80483210448929e-159,"both","FDR<0.05 & 
log2(FC)>=1"
"F28D1.9",1578.69057605968,-1.70303990141301,0.0649639289803463,-26.2151616773092,1.7850010815301e-151,4.30051385567638e-148,"both","FDR<0.05 & 
log2(FC)>=1"
"T21C9.3",2558.41526244967,3.37345651134346,0.130756241866915,25.7995829734614,8.96314729993518e-147,1.9195077895439e-143,"both","FDR<0.05 & 
log2(FC)>=1"
"F56B3.1",19620.2930899131,4.49344323691652,0.175365017909408,25.6233728396036,8.37630608763641e-145,1.61444923533104e-141,NA,"FDR<0.05 & 
log2(FC)>=1"
"Y104H12A.1",537.772376391308,-1.92984149534528,0.0779162370955718,-24.7681557436885,1.97633563451301e-135,3.46289936541852e-132,NA,"FDR<0.05 & 
log2(FC)>=1"
"F11G11.12",30808.5911359568,-2.60913493743971,0.108998620015192,-23.937320830998,1.25243497223279e-126,2.0116193045679e-123,"both","FDR<0.05 & 
log2(FC)>=1"
"W09G12.10",249.230588977365,-2.94170804263406,0.129814439289749,-22.6608693049014,1.09007634913499e-113,1.6161639656329e-110,"both","FDR<0.05 & 
log2(FC)>=1"
"F36H2.3",631.777905723385,-2.38827568288208,0.105843440653951,-22.5642294706804,9.73548969467418e-113,1.34029877410822e-109,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"C34C6.3",283.526746918519,-2.23207673684083,0.100199597454383,-22.2763044318317,6.27247270911512e-110,8.05970926636565e-107,"both","FDR<0.05 & 
log2(FC)>=1"
"F01G10.10",609.861115430841,-2.28047337059666,0.1043274986236,-21.8587946675911,6.41148520743925e-106,7.7234353680115e-103,"both","FDR<0.05 & 
log2(FC)>=1"
"K07C10.1",808.603086777166,2.99073500264978,0.137296683842525,21.7830097490196,3.36241598396512e-105,3.81218856911434e-102,"both","FDR<0.05 & 
log2(FC)>=1"
"T06A4.3",1289.42858981703,-2.51331676840852,0.116155585448973,-21.6375024816401,7.970512747113e-104,8.53464792710311e-101,"both","FDR<0.05 & 
log2(FC)>=1"
"F11E6.8",750.844609781796,-2.13981802638695,0.099442739735823,-21.5180920404198,1.05411692057597e-102,1.06931839616744e-99,NA,"FDR<0.05 & 
log2(FC)>=1"
"T02E9.2",5546.79137982067,-3.35966453122677,0.156249169848342,-21.5019672391713,1.49226449603017e-102,1.43809529482427e-99,"spt-16_N2","FDR<0.05 & 
log2(FC)>=1"
"DY3.5",353.789820828401,-2.40626263959318,0.112191573843342,-21.4478018015252,4.78747306919929e-102,4.39398837789272e-99,"both","FDR<0.05 & 
log2(FC)>=1"
"ZK20.6",2374.31953604835,-2.38010670376773,0.111279318446365,-21.3885808881451,1.70672366787243e-101,1.49524508975333e-98,"both","FDR<0.05 & 
log2(FC)>=1"
"F54D10.8",149.526287871988,-5.87890948515656,0.277368368597926,-21.1953133476393,1.05494126358778e-99,8.84040778886558e-97,"both","FDR<0.05 & 
log2(FC)>=1"
"B0213.2",1099.14839923524,3.81823333741703,0.181134686493171,21.0795260219858,1.22605156159134e-98,9.8462157492131e-96,NA,"FDR<0.05 & 
log2(FC)>=1"
"C54A12.1",505.675353051806,-2.68708152743884,0.127739183056968,-21.035687430696,3.09258485640639e-98,2.38425922089507e-95,"both","FDR<0.05 & 
log2(FC)>=1"
"R07B1.13",536.060379807765,-3.21884521363026,0.153035084693901,-21.0333808098225,3.24668711874738e-98,2.40679413564373e-95,"both","FDR<0.05 & 
log2(FC)>=1"
"T04H1.6",212.351482633129,-2.72449287072341,0.130186239134512,-20.9276563240175,2.99882671511518e-97,2.14071800396778e-94,"both","FDR<0.05 & 
log2(FC)>=1"
